OBJECTID,id,effectiveDate,instrument_ID,name,siteType,Watershed,siteTypeStr,structure,dataLoc,Type (Digital/Analog/Both),Analog_Years,Purpose,Digital_Years,State,County,Easting_DB,Norting_DB,Elevation_DB,latitude,longitude,Area_acres,In_DB,Published,Notes,Notes 2,x,y
1,1,05/21/2003 01:00:00,1,wg_rg001  ,10,WGEW,Raingage,,raingage\rg01\rg01.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,580177.7,3510845.9,1231.1,31.73024,-110.1536,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,580177.7,3510845.9
2,2,05/21/2003 02:00:00,2,wg_rg002  ,10,WGEW,Raingage,,raingage\rg02\rg02.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,581187.7,3512046.7,1262.9,31.741,-110.1429,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,581187.7,3512046.7
3,3,01/23/2008 11:21:00,3,wg_rg003  ,10,WGEW,Raingage,,raingage\rg03\rg03.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,581203.8,3509765,1257.1,31.72041,-110.1429,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,581203.8,3509765
4,4,05/21/2003 02:00:00,4,wg_rg004  ,10,WGEW,Raingage,,raingage\rg04\rg04.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,582935.4,3512513,1278.1,31.74508,-110.1244,,Yes,Yes,Analog rain gauges operational year round. See DAP database for exact dates of operation. Analog rain gauges using a daily (24-hour) clock/chart.,,582935.4,3512513
5,5,11/03/2004 13:38:00,5,wg_rg005  ,10,WGEW,Raingage,,raingage\rg05\rg05.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,582648.4,3510765,1277.7,31.72933,-110.1276,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,582648.4,3510765
6,6,07/21/1954 14:20:00,6,wg_rg006,10,WGEW,Raingage,,,Analog,1962-1969,,,Arizona,Cochise,583583,3509840,1314,31.72092,-110.1178,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,GA:  effectiveDate has been added from DB event start date.,583583,3509840
7,7,05/21/2003 02:00:00,7,wg_rg007  ,10,WGEW,Raingage,,raingage\rg07\rg07.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,584458.1,3512807.8,1297.6,31.74763,-110.1083,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,584458.1,3512807.8
8,8,11/03/2004 11:47:00,8,wg_rg008  ,10,WGEW,Raingage,,raingage\rg08\rg08.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,583789.8,3511369,1295.4,31.7347,-110.1155,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,583789.8,3511369
9,9,05/21/2003 01:00:00,9,wg_rg009  ,10,WGEW,Raingage,,raingage\rg09\rg09.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,584589.6,3509386.8,1343.4,31.71675,-110.1072,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,584589.6,3509386.8
10,10,05/21/2003 02:00:00,10,wg_rg010  ,10,WGEW,Raingage,,raingage\rg10\rg10.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,584265,3508350.8,1383.2,31.70743,-110.1107,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,584265,3508350.8
11,11,02/05/2008 12:36:00,11,wg_rg011  ,10,WGEW,Raingage,,raingage\rg11\rg11.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,585911.1,3512636.2,1316.9,31.74597,-110.093,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,585911.1,3512636.2
12,12,05/21/2003 01:00:00,12,wg_rg012  ,10,WGEW,Raingage,,raingage\rg12\rg12.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,585358.2,3511393.4,1296.1,31.7348,-110.0989,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,585358.2,3511393.4
13,13,02/27/2014 09:34:00,13,wg_rg013  ,10,WGEW,Raingage,,raingage\rg13\rg13.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,586117.4,3510181.4,1329.7,31.72381,-110.091,,Yes,Yes,Analog rain gauges operational year round. See DAP database for exact dates of operation. Analog rain gauges using a daily (24-hour) clock/chart.,,586117.4,3510181.4
14,14,01/23/2008 13:33:00,14,wg_rg014  ,10,WGEW,Raingage,,raingage\rg14\rg14.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,585446.8,3507169.1,1377.6,31.69669,-110.0984,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,585446.8,3507169.1
15,15,05/21/2003 01:00:00,15,wg_rg015  ,10,WGEW,Raingage,,raingage\rg15\rg15.dat                            ,Both,1956-1999,,2000-Present,Arizona,Cochise,587458.3,3513185.2,1334.5,31.7508,-110.0766,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,587458.3,3513185.2
16,16,05/21/2003 01:00:00,16,wg_rg016  ,10,WGEW,Raingage,,raingage\rg16\rg16.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,586838.5,3511684.4,1332.1,31.73731,-110.0833,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,586838.5,3511684.4
17,17,05/24/2017 10:07:00,17,wg_rg017  ,10,WGEW,Raingage,,raingage\rg17\rg17.dat                            ,Both,1965-1999,,2000-Present,Arizona,Cochise,588023.4,3510226.6,1356.5,31.72407,-110.0709,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,588023.4,3510226.6
18,18,01/23/2008 13:23:00,18,wg_rg018  ,10,WGEW,Raingage,,raingage\rg18\rg18.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,586710.3,3508092.5,1359.7,31.70492,-110.0849,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,586710.3,3508092.5
19,19,03/22/2011 08:06:00,19,wg_rg019  ,10,WGEW,Raingage,,raingage\rg19\rg19.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,587843.7,3506708.1,1442.6,31.69234,-110.0731,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,587843.7,3506708.1
20,20,01/24/2008 08:39:00,20,wg_rg020  ,10,WGEW,Raingage,,raingage\rg20\rg20.dat                            ,Both,1954-1999,,2000-Present,Arizona,Cochise,587480.9,3504934.4,1523.1,31.67637,-110.0771,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,587480.9,3504934.4
21,21,05/21/2003 01:00:00,21,wg_rg021  ,10,WGEW,Raingage,,raingage\rg21\rg21.dat                            ,Both,1954-1999 ,,2000-Present,Arizona,Cochise,589092.3,3513381.5,1359.7,31.75245,-110.0593,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,589092.3,3513381.5
22,22,05/21/2003 01:00:00,22,wg_rg022  ,10,WGEW,Raingage,,raingage\rg22\rg22.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,588340.9,3511788.1,1344.3,31.73813,-110.0674,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,588340.9,3511788.1
23,23,05/21/2003 01:00:00,23,wg_rg023  ,10,WGEW,Raingage,,raingage\rg23\rg23.dat                            ,Both,1953-1999 ,,2000-Present,Arizona,Cochise,589102.1,3511158.4,1335.4,31.7324,-110.0594,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,589102.1,3511158.4
24,24,07/05/2017 14:32:00,24,wg_rg024  ,10,WGEW,Raingage,,raingage\rg24\rg24.dat                            ,Both,1954-1999 ,,2000-Present,Arizona,Cochise,588640.9,3508819.8,1390,31.71133,-110.0645,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,588640.9,3508819.8
25,25,05/21/2003 01:00:00,25,wg_rg025  ,10,WGEW,Raingage,,raingage\rg25\rg25.dat                            ,Both,1954-1999 ,,2000-Present,Arizona,Cochise,589810.9,3506876,1429.9,31.69371,-110.0523,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,589810.9,3506876
26,26,05/20/2005 15:34:00,26,wg_rg026  ,10,WGEW,Raingage,,raingage\rg26\rg26.dat                            ,Both,1960-1999 ,,2000-Present,Arizona,Cochise,588740.7,3505515.5,1488.7,31.68152,-110.0638,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,588740.7,3505515.5
27,27,05/21/2003 01:00:00,27,wg_rg027  ,10,WGEW,Raingage,,raingage\rg27\rg27.dat                            ,Both,1954-1999 ,,2000-Present,Arizona,Cochise,590422.4,3511831.9,1360,31.73837,-110.0454,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,590422.4,3511831.9
28,28,01/18/2008 12:42:00,28,wg_rg028  ,10,WGEW,Raingage,,raingage\rg28\rg28.dat                            ,Both,1954-1999 ,,2000-Present,Arizona,Cochise,590625.8,3509982.7,1373.6,31.72167,-110.0434,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,590625.8,3509982.7
29,29,05/21/2003 01:00:00,29,wg_rg029  ,10,WGEW,Raingage,,raingage\rg29\rg29.dat                            ,Both,1956-1999 ,,2000-Present,Arizona,Cochise,591791.7,3508578.1,1375.2,31.7089,-110.0313,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,591791.7,3508578.1
30,30,07/20/2007 09:07:00,30,wg_rg030  ,10,WGEW,Raingage,,raingage\rg30\rg30.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,591512.2,3505987.3,1451.6,31.68556,-110.0345,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,591512.2,3505987.3
31,31,11/20/2009 14:09:00,31,wg_rg031  ,10,WGEW,Raingage,,raingage\rg31\rg31.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,592398.8,3513704.9,1422.7,31.7551,-110.0244,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,592398.8,3513704.9
32,32,05/21/2003 01:00:00,32,wg_rg032  ,10,WGEW,Raingage,,raingage\rg32\rg32.dat                            ,Both,1962-1999 ,,2000-Present,Arizona,Cochise,592439.2,3511692,1387.8,31.73694,-110.0242,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,592439.2,3511692
33,33,05/21/2003 01:00:00,33,wg_rg033  ,10,WGEW,Raingage,,raingage\rg33\rg33.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,591777,3510506.5,1393.2,31.7263,-110.0313,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,591777,3510506.5
34,34,08/10/2012 10:58:00,34,wg_rg034  ,10,WGEW,Raingage,,raingage\rg34\rg34.dat                            ,Both,1963-1999 ,,2000-Present,Arizona,Cochise,590950.2,3507453.3,1422.7,31.69883,-110.0403,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,590950.2,3507453.3
35,35,12/11/2013 13:57:00,35,wg_rg035  ,10,WGEW,Raingage,,raingage\rg35\rg35.dat                            ,Both,1959-1999 ,,2000-Present,Arizona,Cochise,591658.5,3506919,1414.3,31.69395,-110.0328,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,591658.5,3506919
36,36,05/21/2003 01:00:00,36,wg_rg036  ,10,WGEW,Raingage,,raingage\rg36\rg36.dat                            ,Both,1953-1999 ,,2000-Present,Arizona,Cochise,591304.9,3504986.8,1465.9,31.67655,-110.0368,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,591304.9,3504986.8
37,37,01/18/2008 13:21:00,37,wg_rg037  ,10,WGEW,Raingage,,raingage\rg37\rg37.dat                            ,Both,1966-1999 ,,2000-Present,Arizona,Cochise,593302.1,3506062,1409.1,31.68608,-110.0156,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,593302.1,3506062
38,38,05/21/2003 01:00:00,38,wg_rg038  ,10,WGEW,Raingage,,raingage\rg38\rg38.dat                            ,Both,1960-1999 ,,2000-Present,Arizona,Cochise,594711.1,3513535.3,1455.2,31.75339,-110,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,594711.1,3513535.3
39,39,07/30/2007 15:56:00,39,wg_rg039  ,10,WGEW,Raingage,,raingage\rg39\rg39.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,593474.6,3511287.1,1423,31.73321,-110.0133,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,593474.6,3511287.1
40,40,01/18/2008 11:53:00,40,wg_rg040  ,10,WGEW,Raingage,,raingage\rg40\rg40.dat                            ,Both,1962-1999 ,,2000-Present,Arizona,Cochise,593357.4,3510281.8,1395.3,31.72415,-110.0146,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,593357.4,3510281.8
41,41,05/21/2003 01:00:00,41,wg_rg041  ,10,WGEW,Raingage,,raingage\rg41\rg41.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,593276.3,3508060,1414.2,31.70411,-110.0157,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,593276.3,3508060
42,42,05/21/2003 02:00:00,42,wg_rg042  ,10,WGEW,Raingage,,raingage\rg42\rg42.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,592674.9,3504929.3,1434.6,31.67592,-110.0223,,Yes,Yes,Analog rain gauges operational year round. See DAP database for exact dates of operation. Analog rain gauges using a daily (24-hour) clock/chart.,,592674.9,3504929.3
43,43,05/21/2003 01:00:00,43,wg_rg043  ,10,WGEW,Raingage,,raingage\rg43\rg43.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,595344.9,3514428.2,1467.7,31.76139,-109.9932,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,595344.9,3514428.2
44,44,05/21/2003 01:00:00,44,wg_rg044  ,10,WGEW,Raingage,,raingage\rg44\rg44.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,594953.1,3511627.7,1446.4,31.73616,-109.9976,,Yes,Yes,Analog rain gauges operational year round. See DAP database for exact dates of operation. Analog rain gauges using a daily (24-hour) clock/chart.,,594953.1,3511627.7
45,45,05/21/2003 01:00:00,45,wg_rg045  ,10,WGEW,Raingage,,raingage\rg45\rg45.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,594725.9,3510295.2,1431.4,31.72416,-110.0002,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,594725.9,3510295.2
46,46,10/18/2016 13:54:00,46,wg_rg046  ,10,WGEW,Raingage,,raingage\rg46\rg46.dat                            ,Both,1962-1999 ,,2000-Present,Arizona,Cochise,595286.6,3508647.3,1442.8,31.70924,-109.9944,,Yes,Yes,Analog rain gauges operational year round. See DAP database for exact dates of operation. Analog rain gauges using a daily (24-hour) clock/chart.,,595286.6,3508647.3
47,47,01/04/2011 14:29:00,47,wg_rg047  ,10,WGEW,Raingage,,raingage\rg47\rg47.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,594271.3,3507015.5,1420.9,31.69461,-110.0053,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,594271.3,3507015.5
48,48,08/08/2003 07:48:00,48,wg_rg048  ,10,WGEW,Raingage,,raingage\rg48\rg48.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,595586.2,3505646.5,1441.9,31.68215,-109.9915,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,595586.2,3505646.5
49,49,05/21/2003 01:00:00,49,wg_rg049  ,10,WGEW,Raingage,,raingage\rg49\rg49.dat                            ,Both,1960-1999 ,,2000-Present,Arizona,Cochise,594480.7,3505238,1439.8,31.67856,-110.0032,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,594480.7,3505238
50,50,05/21/2003 02:00:00,50,wg_rg050  ,10,WGEW,Raingage,,raingage\rg50\rg50.dat                            ,Both,1960-1999,,2000-Present,Arizona,Cochise,596864.5,3514909.8,1482.1,31.7656,-109.9771,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,596864.5,3514909.8
51,51,05/21/2003 02:00:00,51,wg_rg051  ,10,WGEW,Raingage,,raingage\rg51\rg51.dat                            ,Both,1960-1999 ,,2000-Present,Arizona,Cochise,595608.3,3513091.9,1464,31.74931,-109.9906,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,595608.3,3513091.9
52,52,05/21/2003 01:00:00,52,wg_rg052  ,10,WGEW,Raingage,,raingage\rg52\rg52.dat                            ,Both,1963-1999 ,,2000-Present,Arizona,Cochise,596513.8,3511949.3,1476.3,31.73893,-109.9811,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,596513.8,3511949.3
53,53,05/21/2003 02:00:00,53,wg_rg053  ,10,WGEW,Raingage,,raingage\rg53\rg53.dat                            ,Both,1967-1999 ,,2000-Present,Arizona,Cochise,596010.4,3509517.1,1418.2,31.71703,-109.9867,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,596010.4,3509517.1
54,54,05/21/2003 02:00:00,54,wg_rg054  ,10,WGEW,Raingage,,raingage\rg54\rg54.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,598217.3,3513971.1,1522.4,31.75702,-109.9629,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,598217.3,3513971.1
55,55,04/11/2007 13:43:00,55,wg_rg055  ,10,WGEW,Raingage,,raingage\rg55\rg55.dat                            ,Both,1960-1999 ,,2000-Present,Arizona,Cochise,599917.3,3513607.3,1554.4,31.75359,-109.945,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,599917.3,3513607.3
56,56,05/21/2003 01:00:00,56,wg_rg056  ,10,WGEW,Raingage,,raingage\rg56\rg56.dat                            ,Both,1955-1999 ,,2000-Present,Arizona,Cochise,598337.1,3512319.9,1502.3,31.74212,-109.9618,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,598337.1,3512319.9
57,57,01/18/2008 12:06:00,57,wg_rg057  ,10,WGEW,Raingage,,raingage\rg57\rg57.dat                            ,Both,1959-1999 ,,2000-Present,Arizona,Cochise,596095,3510776.6,1464.2,31.72838,-109.9857,,Yes,Yes,Analog rain gauges only operational during the monsoon season. See DAP database for exact dates of operation; Analog rain gauges using a daily (24-hour) clock/chart.,,596095,3510776.6
